,,연재중,,
,순,제목,회차,신규
,1,100만 년 만에 귀환하다(49볼 차례),269,
,2,4000년 만에 귀환한 대마도사(128),253,
,3,갓 오브 블랙필드,314,
,4,권왕전생,108,
,5,나 혼자 부활한다,100,
,6,나혼자 탑에서 농사,127,🔥
,7,내 안에 최종보스가 들어왔다,146,
,8,던전 안의 살림꾼,61,
,9,던전견문록,131,
,10,던전공략은 복붙이지,90,
,11,디펜스 게임의 폭군이 되었다,131,
,12,레벨999 고블린,56,
,13,레벨업하는 무신,95,🔥
,14,마법학교 앞점멸 천재가 되었다,70,
,15,마왕 어플로 S급 헌터가 되었습니다(42),198,
,16,만 년 만에 귀환한 플레이어,117,
,17,만렙 플레이어(80),109,
,18,명가의 역대급 재능천재로 환생했다,78,
,19,몽홀,504,
,20,무림세가 천대받는 손녀 딸이 되었다,104,
,21,무림에서 온 배달부,106,
,22,무사만리행,229,
,23,무신귀환록,130,
,24,무영삼천도,130,
,25,묵향 다크레이디(228),257,
,26,백년게임,261,
,27,백룡공작 팬드래건,131,
,28,백작가 막내아들은 플레이어,122,
,29,별을 품은 소드마스터,103,
,30,"보스 몹답게 행동하세요, 스왈로우 씨!",126,
,31,비뢰도,209,
,32,빌런투킬(47),220,
,33,사신표월,135,
,34,선무제존,600,
,35,소설 속 엑스트라,131,
,36,시간여행자,138,
,37,신과 함께 돌아온 기사왕님,145,
,38,신마대제,47,
,39,신으로 태어났습니다.,634,
,40,신화 속 대마법사의 재림,100,
,41,아빠가 너무 강함,211,
,42,아카데미의 천재칼잡이,128,
,43,알고 보니 최강 신선,282,
,44,어느 마법사의 식당,135,
,45,어쌔신 그리드 - 잊혀진 사원,132,
,46,엑스트라가 너무 강함,93,
,47,역대급 영지 설계사,196,
,48,역천사신(182),417,
,49,열 명의 신제들이 모두 내 제자,162,
,50,영웅&마왕&악당,132,
,51,영주님의 코인이 줄지 않음,165,
,52,용사 동생은 아카데미 고인물,108,
,53,용사 파티 때려치웁니다,168,🔥
,54,용사보다 너무 강해서 힘을 숨김,129,🔥
,55,용사파티만화,146,🔥
,56,유일무이의 네크로맨서,109,
,57,육식주의 헌터	,153,
,58,이계 검왕 생존기(50화 볼 차례),257,
,59,이계진입 리로디드,111,
,60,이볼브 : 진화의 서막	,139,
,61,이세계 착각 헌터,95,
,62,이세계 최강 반지왕,48,
,63,이차원 용병(28),315,
,64,일렉시드,364,
,65,재능 삼킨 마법사,140,
,66,재앙급 영웅님이 귀환하셨다,172,
,67,전생자,168,
,68,전왕전기,215,
,69,정령군주,109,
,70,정령사 : 나타르 전기,447,
,71,정령왕 엘퀴네스,320,
,72,제천만계에서 돌아오다,166,
,73,진화 특성으로 최강 네크로맨서,111,
,74,천재 궁수의 스트리밍,80,
,75,천재 대장장이의 게임,31,
,76,천재 퇴마사가 자꾸 강해져,289,
,77,천하제일 곤륜객잔,115,
,78,철혈검가 사냥개의 회귀,142,
,79,최강전설 강해효,609,
,80,카르세아린,165,
,81,턴제의 마법사,53,
,82,특수요원 무림으로 가다,117,
,83,폐급인 척했던 학교생활(72),118,
,84,플레이어,262,🔥
,85,픽 미 업!(83),152,
,86,헬무트,102,
,87,헬스던전,110,
,88,환생의 정석,139,
,89,환생자의 스트리밍,40,
,90,환생한 암살자는 검술 천재,74,
,91,회귀 경찰의 리셋 라이프,128,
,92,회귀검가의 서자가 사는 법,90,
,93,회귀자 사용설명서,140,
,94,회귀자는 그만 강해지고 싶다,47,
,95,회귀하여 최강 신왕으로,189,
,96,회귀한 천재 플레이어의 신화급 무기창조,68,
,97,후작가의 역대급 막대아들,135,
,98,히어로 킬러,226,
,99,F급 사주 헌터,122,
,100,S급 나무로 레벨업,224,🔥
,101,S급 던전의 여주인,100,
,102,,,
