,,완결,,
,순,제목,회차,신규
,1,갓 오브 하이스쿨,573,
,2,강시도령,155,
,3,강신전기,110,
,4,강호표사,162,
,5,검은 상처,,
,6,검은손의 연대기,,
,7,검황의 후예,,
,8,고교음양사,108,
,9,고수,236,
,10,과로환생전기,135,
,11,관존 이강진,175,
,12,광룡기,128,
,13,광비 : 뚱보 악녀로 환생한 특수요원,263,
,14,궁귀검신 1부,147,
,15,나 홀로 무공,115,
,16,나혼자 어그로성 레벨업	,240,
,17,내 행운은 만렙이다(74),127,
,18,달빛조각사(글 작),173,
,19,닳고닳은 뉴비(78),243,
,20,대귀갑사,141,
,21,대사형,100,
,22,대사형 선유,200,
,23,던전 마제스티,151,
,24,도굴왕,330,
,25,랜덤뽑기로 신이 되다,281,
,26,레드스톰,390,
,27,레벨업하기 싫은 천마님,100,
,28,레이드,146,
,29,로벨 : 악의를 계승받은 자	,269,
,30,리버스 빌런,110,
,31,리턴 서바이벌,169,
,32,마검왕(글 작),334,
,33,만렙돌파,189,
,34,먹을수록 강해짐,100,
,35,먼치킨 육아일기,217,
,36,메디컬 환생(60),150,
,37,무기가게 사장님,139,
,38,무림생활백서,,
,39,무림세신기,,
,40,무신전기,150,🔥
,41,무인 이곽,100,
,42,무장,229,
,43,미르신화전기,100,
,44,미슐랭스타,411,
,45,바람의나라: 야화전설,,
,46,밥만 먹고 레벨업,208,
,47,백련지몽,,
,48,북검전기,202,
,49,불패검선,253,
,50,비흔,193,
,51,삼류호텔 막내셰프,102,
,52,생사결 : 여래의 복수,100,
,53,서울역 네크로맨서,150,
,54,선조귀환(74),173,
,55,소설 속 악녀 황제가 되었다,149,
,56,소울카르텔,224,
,57,수라의 대지,,
,58,수련만 삼천년,379,
,59,시그리드,153,
,60,시스템이 너무 치명적이야,163,
,61,신룡의 주인,194,
,62,신마경천기,216,
,63,신수제일검,100,
,64,심마,121,
,65,아비무쌍,297,
,66,앵무살수,183,
,67,에스티오,135,
,68,영웅의 길,,
,69,영웅재림 : 영웅같은 소리하고 있네,247,
,70,옥탑방 소드마스터 ,125,
,71,올 마스터 네크로맨서,96,
,72,왕위 계승자 때려치겠습니다,162,
,73,용맥무신,101,🔥
,74,용을 삼킨 마법사,137,
,75,워블,117,
,76,월검신마,175,
,77,위저드 셰프,169,
,78,의원귀환,152,
,79,의천도룡기,171,
,80,이 용사 실화냐,101,
,81,이그레트,144,
,82,이세계 전담반,102,
,83,잠만 자도 랭커,154,
,84,재앙급 사도와 12인의 신부 후보,185,
,85,절대무신,152,
,86,접경지역의 동물병원,152,
,87,정령 농사꾼,192,
,88,정령왕의 딸,170,
,89,정령의 펜던트,209,
,90,제로 : 아포칼립스의 회귀자,130,
,91,주재삼계 : 절세 강자 환생기,165,
,92,중증외상센터 : 골든 아워,149,
,93,집 밖은 위험해,100,
,94,차원을 잘못 찾아왔습니다,260 (280),
,95,천년방사,100,
,96,천마 리치왕의 무림을 부수다,108,
,97,천애협로,275,
,98,천하무적 임훈,206,
,99,천하제일 의뢰문,100,
,100,천하제일검,,
,101,천하제일인,112,
,102,최강신의,437,
,103,최강인데 또 레벨업,285 (290),
,104,킬 더 히어로,153,
,105,패왕의 별,122,
,106,패왕전기,,
,107,포텐 X 디펜스,,
,108,풍운객잔,145,
,109,풍운전신,369,
,110,학사재생,215,
,111,헤븐즈 소울,161,
,112,현계지문,127,
,113,화산권마,182,
,114,화산전생,303,
,115,환상무공전,,
,116,환생무림기,112,
,117,회귀했더니 공작,130,
,118,후크,101,
,119,훈수 두는 천마님,105,
,120,휘영검전,129,
,121,,,
,122,,,
,123,,,
,124,,,
