,,휴재,,,
,순,제목,회차,신규,
,1,각성감신,172,🔥,
,2,나는 마도왕이다,143,,
,3,내 소설의 악역이 되다,220,,
,4,네크로맨서 학교의 소환천재,209,,
,5,대상무형: 운명을 삼킨 퇴마사,222,,
,6,독보다 강한 꽃,356,,
,7,또라이 대사형 무림 생존기,357,,
,8,랑환서원: 사상 최강의 선생님이 되다,113,,
,9,레벨업하기 싫은 영급무사	,160,,
,10,로얄 비스트,97,,
,11,마존현세강림기,173,,
,12,만계선왕,200,,
,13,만능왕,285,,
,14,만렙 무사의 피앙세,166,🔥,
,15,멸망할 도시의 회귀자,204,,
,16,무법신선의 도시강림,210,,
,17,무신향로(148),174,,
,18,미녀 사부들에게 길들여지는 법,120,,
,19,복천성주,130,,
,20,사상최강: 깨어난 영웅들,116,,
,21,사신 영웅전 : 바보 마법사 영웅이 되다,232,,
,22,"선인, 헌대를 제패하다",137,,
,23,선조의 환생,262,🔥,
,24,스파이 스쿨,101,,
,25,시간 거래상 : 영생클럽,273,,
,26,신이되다 - 크툴루신화,230,,
,27,신혼무제,244,,순서
,28,"아 말세의 구세주, 나란 남자",244,,SOUL LAND
,29,엘피스 전기 : 당문영웅전(두 번째 외전),63,,절세당문
,30,엘피스 전기 : 더 라스트(2023-05-27),415,,용왕전설
,31,엘피스 전기 : 신계전설,87,,
,32,엘피스 전기 : 용왕전설(2023-05-21),136,,
,33,영무제존,128,,
,34,이세계에서 머리로 하드캐리,120,,
,35,일검독존,171,,
,36,전승지존,104,,
,37,절세당문,,,
,38,창궁방 : 불멸의 신화,127,,
,39,최강 데릴사위,220,,
,40,치트라,260,,
,41,풍운,165,,
,42,황자의 게임:천룡전설,119,,
,43,히어로즈 플랜비,411,,
,44,,,,
,45,,,,
,46,,,,
,47,,,,
,48,,,,
